Unnamed: 0,gene_10081,gene_12730,gene_16294,gene_9772,gene_333,gene_5000,gene_3750,gene_11277,gene_4461,gene_13512,gene_1928,gene_9005,gene_14422,gene_11772,gene_8837,gene_997,gene_15798,gene_18316,gene_7712,gene_6987,gene_2872,gene_16732,gene_1075,gene_17046,gene_17827,gene_7932,gene_14322,gene_13438,gene_14919,gene_2891,gene_9317,gene_19320,gene_11838,gene_27,gene_8525,gene_16328,gene_17986,gene_17882,gene_11603,gene_5476,gene_5940,gene_12833,gene_5360,gene_826,gene_3879,gene_10983,gene_20110,gene_7499,gene_10815,gene_8554,Class
sample_0,0.0,0.0,9.99489081139,4.54318033671,9.10659957985,3.82640611741,0.0,11.6103789453,8.53614617492,10.7960964067,0.591870870063,6.52807272783,0.0,5.4462926277,6.118237198,5.78513201532,0.0,6.47970105507,8.91679010992,0.0,7.35129263167,0.0,11.9756008119,6.84050100026,10.6264300103,10.3906311466,11.6166866743,5.32376635942,3.97338167497,9.56350518375,1.59865104788,11.0832133682,9.78783401343,10.8390699073,3.92603738372,10.2648530648,9.66405255612,10.5356933477,4.60461697682,5.71651906146,2.82495110552,4.34140940777,9.01622886523,12.3770857807,3.34039135722,9.50025233506,6.62020369363,9.1250621179,10.7462791712,9.53420170542,PRAD
sample_1,0.0,0.0,10.0325141478,4.0743427301,0.587845009254,1.70650845057,1.81360677487,4.65227997111,8.88910235613,9.43292601117,1.81360677487,7.14056395305,1.59081756331,9.75191389057,0.323658291026,7.01657431817,0.0,2.91448798592,7.37940436134,0.0,7.71609235871,0.0,12.7348302631,6.05303528878,10.3978564289,14.7822150355,9.39408321377,8.51158268242,1.17478989305,10.5628720347,0.0,11.0170241188,10.6220975895,8.5224756055,5.69510298564,8.6714207634,9.31047872975,9.93209218413,2.81487850443,6.99638874645,1.46503412153,5.84151025548,6.0029882411,10.5951362415,6.2986803077,11.2467287244,7.29642987476,5.46800651467,10.3504640965,8.41707611921,LUAD
sample_2,0.0,0.0,9.12454268271,3.90715987355,0.0,1.07416287551,0.0,3.79673271489,8.36821396418,11.2395686965,1.30684550031,7.81642691067,0.0,10.3940660597,0.0,5.80871968414,0.0,2.33725438047,9.32848644475,0.0,7.25220180349,0.0,11.8563010188,6.76777395866,9.40654517343,11.0161397027,2.33725438047,5.67568046049,0.452595434703,10.882123341,0.452595434703,9.69267129064,10.1232549176,9.86161579722,5.27002054575,10.6009350087,8.76924279514,10.5087059453,1.98112198979,8.40699577253,0.452595434703,5.22808369063,8.62944769644,11.6750352126,5.53370972824,10.5225030685,7.59510080018,8.91804925615,10.1934883994,10.5854414411,PRAD
sample_3,0.0,0.0,9.18961703302,4.94963297692,7.81210027413,1.93141831808,0.434881719407,5.98337672186,8.53149063331,11.4954003664,2.56683950309,8.2787978932,1.26735601178,7.19614471908,1.03941918313,6.5452595081,0.768586635001,4.466457458,9.53638904944,0.0,5.47968327287,0.0,11.6300714149,4.82982926863,10.7483605951,9.68011509743,7.19960364344,5.47968327287,1.26735601178,10.1451169775,1.46409316524,10.4108435077,10.0405637112,9.51157279975,3.12753423548,10.6126473777,8.62189435937,10.3905774111,4.55548488603,8.09457917592,1.63723926617,7.48102440549,9.88984159211,11.7961166912,3.94704892904,10.8631563865,7.47532812262,8.02970133835,10.7551296008,9.26001389072,PRAD
sample_4,0.0,0.0,9.5148737969,3.25220369616,6.596933652,3.8152167598,0.0,3.8152167598,9.34995127112,10.0566783538,3.01913255129,6.32242934433,2.96762975347,9.17794519119,0.649385529182,6.71559140505,0.649385529182,7.17265752141,8.85380544533,0.0,6.8056278071,0.0,12.8141638554,9.33097288227,9.45944391428,10.8688534142,6.85252326734,4.90668860416,3.66165840255,10.4384592044,0.0,11.059276854,10.1777558785,8.82153484143,5.50291929774,9.86637329579,9.28111168832,9.31109435694,7.87799571824,8.6610262756,1.83126923597,4.46180355683,8.82786664801,11.6076123516,5.90314434673,11.4777430908,8.27746874282,12.1808943878,10.8378565389,9.84423655727,BRCA
sample_5,0.0,0.0,8.47782706092,4.54394124368,9.01669687836,2.00201836053,0.89429393355,7.79522796603,8.98770457087,10.6914294764,0.515409693386,7.91555675257,0.0,5.30900151649,7.38142182028,6.12111074834,0.0,7.80910570328,9.88772173927,0.0,7.22459985848,0.0,12.568428818,6.38264650435,10.6561656197,10.4630542969,13.0110105553,6.75944881818,4.07780697561,10.1684840918,0.89429393355,10.7335153467,9.87985430379,9.62838721143,4.11403380055,11.5567886266,8.68308584617,9.73035634745,2.71848218821,7.32010554167,4.91633810084,7.94602313916,6.45503947465,11.60829179,2.97634530404,10.0751047222,7.85798099513,10.2763105475,10.7144687746,9.40721039526,PRAD
sample_6,0.0,0.0,9.18356839322,3.7531017302,3.10082630814,4.51385074278,0.919683313397,6.45840005086,8.24235479534,9.70743161015,1.224966365,6.53669481889,7.70260213929,3.84548001477,0.0,5.17874252292,2.56171715708,6.89117612475,10.0623295205,0.0,7.93060725264,0.0,10.431800528,5.80315727693,10.2129948283,7.80689756677,8.93292337384,9.19787521787,0.531867995606,8.8738224243,0.0,11.2811998037,9.26945165812,9.50897724457,3.8895514187,8.93686463041,10.0879401246,10.4466284369,0.0,5.80522795599,10.3068819463,3.43406771931,4.48542038655,9.83685355788,3.43406771931,10.0915147258,8.28422261099,10.793936513,9.91488288819,9.06247793691,KIRC
sample_7,0.441802154629,0.0,9.34877462065,3.36676981745,9.90010753332,2.40585624995,4.34680800408,6.91492323927,8.90808633458,10.2648061605,0.779553903495,5.98511784681,1.05304180731,3.36676981745,5.52810555574,5.53592541509,0.0,6.19016444151,10.0756262193,0.0,8.77871453503,0.0,12.6188764123,5.99325543938,10.413955777,9.58934029229,14.1918611745,7.4581851164,6.28601800723,9.29053499052,0.0,11.0660622743,9.71753420265,9.40627942402,3.68074067521,9.30939677036,8.6947548567,10.6872006947,2.58882854778,6.4480683869,3.86939766656,3.5097591722,5.3993044173,10.7847738741,2.67228955252,10.6217771686,7.60347057002,11.2301946057,10.3925857563,9.14656103905,PRAD
sample_8,0.0,0.0,9.93374965968,3.62545753657,5.85070442691,1.68392098081,0.635336494705,3.74933045249,8.63947457007,9.03369279332,1.41131776834,7.59848431327,0.871764810561,9.40139581161,0.0,6.23767843187,0.635336494705,3.30041662784,8.96347990399,0.0,6.50625917636,0.0,12.4880535088,9.36251591469,9.34911754083,11.6345297426,5.43708455445,7.62298158208,3.03426854744,11.6334175869,0.0,11.0869787677,10.4913019617,7.60053737907,4.93540788529,11.3526559168,8.46769113115,9.8432395741,12.6350129226,9.38638633374,0.0,4.88227132411,6.410987201,10.2270262311,8.16227550566,12.039460584,8.29907061232,8.80029487627,9.90531629769,9.12800979215,BRCA
sample_9,0.0,0.0,9.103237969,3.34027740477,8.19521962434,2.09085343045,2.77989003934,5.8510918722,8.76779381777,10.7550043824,0.724213686757,7.47851078061,0.0,5.60275972598,0.0,6.52600149685,0.0,4.45047886135,9.79077203786,0.0,7.73402536315,0.0,14.2111506407,6.61687961491,9.99445244194,9.65371570371,9.12024046978,4.05726829917,3.34027740477,9.46180069254,0.0,10.2413277719,10.2319771373,9.87131233293,3.67082900814,9.28158930211,9.46899866737,9.95519508907,2.77989003934,6.09750756271,4.40680194715,9.02955503258,9.82228242244,10.1696369346,2.63598650375,11.2481054665,7.84864171725,8.3872505153,10.4385839565,10.6084673751,PRAD
